Year,Month,Topics
2024,January,Checks
,,Captures
,,Attacks
,,Checkmate
,,Stalemate
,,Annotation/Etiquette
,,Development
,February,The Center
,,Scholar's Mate
,,Castling
,,Promotion/Underpromotion
,,En Passant
,,Ranks/Files
,March,Material 
,,Active/Passive
,,Resignation
,,Pawn/Pawn Breaks
,,Knight
,,Bishop/Bishop Pair
,April,Rook
,,Queen
,,King
,,Back Rank
,,Luft
,,Prophylaxis
,,King Safety
,,Initiative
,May,Majority/Minority
,,Space
,,Drawing Methods
,,Perpetual/Repetition
,,Swindling
,,Counterplay
,,Calculation/Combinations
,June,Candidate Moves
,,Analysis
,,Tempo/Triangulation
,,Opposition
,,Breakthrough/Passed Pawns
,,Isolated Pawns/Pawn Islands
,,Doubled Pawns
,July,Compensation
,,Gambits/Counter Gambits
,,Sacrifices
,,Exchange Sacrifice
,,Desperado
,,Consolidation
,,Simplification
,,Domination
,August,Zugzwang
,,Double Attack/Check
,,Forks
,,Discovered Attacks
,,Zwischenzug
,,Pins/Skewers/X-rays
,September,Battery
,,Principle of 2 Weaknesses
,,Queenless Middlegames
,,Blockade/Outpost 
,,Fianchetto
,,Sharp/Solid
,,Sicilian Defence
,,French/Caro
,October,Romantic Era Chess: Opera Game
,,Romantic Era Chess: Princeton Game
,,Modern Miniatures
,,Hypermodernism
,,Reversed Systems
,,Accelerated Systems
,November,Neo Systems
,,Puzzle Paradise
,,Women In Chess
,,Scotch Game
,,Italian Game
,,Spanish Game
,,London System
2025,January,Queen's Gambit
,,King's Indian Defence
,,English Fianchetto
,,King's Indian Attack
