Date,Tournament ,Round
,Mississauga Chess Club - Junior Club (Mondays),
,Tournament Schedule for 2020,
2020/01/06,Closed,
2020/01/13,Tournament #29,1
2020/01/20,Tournament #29,2
2020/01/27,Tournament #29,3
2020/02/03,Tournament #29,4
2020/02/10,Tournament #29,5
2020/02/17,Closed for Family Day,
2020/02/24,Tournament #29,6
2020/03/02,"Medals, Simuls, Doubles",
2020/03/09,Tournament #30,1
2020/03/16,Tournament #30,2
2020/03/23,Tournament #30,3
2020/03/30,Tournament #30,4
2020/04/06,Tournament #30,5
2020/04/13,Closed for Easter,
2020/04/20,Tournament #30,6
2020/04/27,"Medals, Simuls, Doubles",
2020/05/04,Tournament #31,1
2020/05/11,Tournament #31,2
2020/05/18,Closed for Victoria Day,
2020/05/25,Tournament #31,3
2020/06/01,Tournament #31,4
2020/06/08,Tournament #31,5
2020/06/15,Tournament #31,6
2020/06/22,"Medals, Chess Puzzles, Doubles",
2020/06/29,Tournament #32,1
2020/07/06,Tournament #32,2
2020/07/13,Tournament #32,3
2020/07/20,Tournament #32,4
2020/07/27,Tournament #32,5
2020/08/03,Closed - Civic Holiday,
2020/08/10,Tournament #32,6
2020/08/17,"Medals, Simuls, Doubles",
2020/08/24,Tournament #33,1
2020/08/31,Tournament #33,2
2020/09/07,Closed - Labour Day,
2020/09/14,Tournament #33,3
2020/09/21,Tournament #33,4
2020/09/28,Tournament #33,5
2020/10/05,Tournament #33,6
2020/10/12,Closed - Thanksgiving Day,
2020/10/19,"Medals, Chess Puzzles, Doubles",
2020/10/26,Tournament #34,1
2020/11/02,Tournament #34,2
2020/11/09,Tournament #34,3
2020/11/16,Tournament #34,4
2020/11/23,Tournament #34,5
2020/11/30,Tournament #34,6
2020/12/07,x-mas party - Medals & Simuls,
2020/12/14,Closed - Christmas,
2020/12/21,Closed - Christmas,
2020/12/28,Closed - Christmas,
2021/01/04,Closed - Christmas,
